number_data,train_loss,val_loss,mIoU
3,0.17347069084644318,0.9142754673957825,33.820950984954834
6,0.08577553182840347,1.0391452312469482,37.744760513305664
9,0.09130896627902985,0.7768117189407349,41.03513062000275
12,0.08502858132123947,0.7044614553451538,44.88404393196106
15,0.07756815105676651,0.6790209412574768,46.25190496444702
18,0.0708807110786438,0.6799313426017761,48.862192034721375
21,0.07123514264822006,0.6482654213905334,48.91965091228485
24,0.06702761352062225,0.5973470211029053,53.23536396026611
27,0.06702546030282974,0.5837511420249939,55.35016655921936
30,0.06992192566394806,0.5796319246292114,56.31551146507263
33,0.07118253409862518,0.5001480579376221,61.5565299987793
36,0.07891485840082169,0.45051348209381104,64.9406373500824
39,0.0831281989812851,0.45925551652908325,58.935970067977905
42,0.10130982100963593,0.4233360290527344,68.1688129901886
45,0.0930246114730835,0.4069477319717407,67.66987442970276
48,0.10191598534584045,0.3902060091495514,70.02072930335999
51,0.10400626063346863,0.3827555179595947,69.63618993759155
54,0.10506029427051544,0.4005120098590851,64.84751105308533
57,0.10320539027452469,0.4599494934082031,63.061970472335815
60,0.13417111337184906,0.3648112416267395,70.53444981575012
63,0.11664527654647827,0.4234364926815033,66.07482433319092
66,0.06935581564903259,0.2830314636230469,77.34224796295166
69,0.07120555639266968,0.2891750931739807,77.46133804321289
72,0.07049393653869629,0.26797184348106384,77.56760120391846
75,0.06876527518033981,0.28976190090179443,75.18669962882996
78,0.08040442317724228,0.2972191572189331,77.46789455413818
81,0.07468290627002716,0.28134915232658386,78.1010627746582
84,0.08001295477151871,0.27707627415657043,78.56489419937134
87,0.08663000166416168,0.3065459728240967,76.85193419456482
90,0.08718074858188629,0.2519499659538269,80.01124858856201
93,0.08297435194253922,0.2541451156139374,79.52650785446167
96,0.06604249030351639,0.24260883033275604,79.86364960670471
99,0.059299688786268234,0.26343825459480286,79.69480752944946
102,0.06198471412062645,0.23203016817569733,80.91297745704651
105,0.07002616673707962,0.22865833342075348,81.33947849273682
108,0.06550925970077515,0.22303220629692078,80.86639642715454
111,0.07296110689640045,0.326360821723938,70.88133692741394
114,0.06690996140241623,0.20539654791355133,82.98814296722412
117,0.06459497660398483,0.2090243548154831,82.67643451690674
120,0.0676531195640564,0.20968717336654663,82.69109725952148
123,0.06884477287530899,0.20082056522369385,83.11798572540283
126,0.08187725394964218,0.22500576078891754,79.9156665802002
129,0.09820818156003952,0.3117303252220154,78.91979813575745
132,0.056340862065553665,0.2753133773803711,80.23509979248047
135,0.05445314198732376,0.1821589171886444,85.00573635101318
138,0.056019507348537445,0.24334514141082764,78.59259843826294
141,0.05558570846915245,0.2221383899450302,82.9930305480957
144,0.060960590839385986,0.20950725674629211,82.23269581794739
147,0.054463259875774384,0.18351377546787262,85.17844676971436
150,0.0703568086028099,0.27452483773231506,77.99068093299866
153,0.05902177467942238,0.2177979052066803,80.77463507652283
156,0.06089097633957863,0.18909189105033875,83.18780660629272
159,0.06644842028617859,0.18644621968269348,85.59707403182983
162,0.06768611818552017,0.18410539627075195,83.6437463760376
165,0.06252148002386093,0.18774062395095825,83.950936794281
168,0.05313229560852051,0.26911792159080505,77.67688035964966
171,0.05414857342839241,0.186180979013443,83.64197015762329
174,0.04884093627333641,0.17860384285449982,85.45864820480347
177,0.05090446025133133,0.17347130179405212,86.40589714050293
180,0.05694197490811348,0.22946706414222717,82.38003253936768
183,0.05581006035208702,0.2697088122367859,80.4713249206543
