number_data,train_loss,val_loss,mIoU
3,0.23393110930919647,5297.86865234375,15.691642463207245
6,0.12048163264989853,2408.85302734375,24.97555911540985
9,0.1265266239643097,2.1459085941314697,53.564345836639404
12,0.11758792400360107,1.6241451501846313,54.17771339416504
15,0.1077490970492363,1.787996768951416,56.18392825126648
18,0.10035523027181625,1.059682011604309,58.21503400802612
21,0.10205786675214767,1.1626368761062622,59.304434061050415
24,0.09817498177289963,0.493466317653656,64.93646502494812
27,0.10025686025619507,0.47346070408821106,66.79969429969788
30,0.10439702868461609,0.4779442548751831,66.52748584747314
33,0.11186082661151886,0.565983235836029,57.98600912094116
36,0.14680223166942596,0.6031050086021423,54.98707890510559
39,0.19039243459701538,0.6032935380935669,53.20054292678833
42,0.18311378359794617,0.6165963411331177,53.37843894958496
45,0.21945832669734955,0.683758556842804,48.93885254859924
48,0.22245876491069794,0.5629656910896301,55.27762770652771
51,0.22416971623897552,0.6108052730560303,52.63543725013733
54,0.20879818499088287,0.5505364537239075,55.25299310684204
57,0.26458442211151123,0.550422191619873,59.35957431793213
60,0.2641713619232178,0.5350744724273682,56.780701875686646
63,0.24254339933395386,0.5248945951461792,57.102638483047485
66,0.1705753207206726,0.5634485483169556,57.911646366119385
69,0.16363482177257538,0.60866379737854,55.504971742630005
72,0.16528739035129547,0.7396073937416077,48.31203520298004
75,0.17033012211322784,0.46111977100372314,65.55936932563782
78,0.18921762704849243,0.5515244603157043,59.266215562820435
81,0.2003958523273468,0.694958508014679,51.40053629875183
84,0.22118587791919708,0.5840670466423035,55.2501916885376
87,0.19358378648757935,0.5053306818008423,62.47265934944153
90,0.22618615627288818,0.597560703754425,58.11704397201538
93,0.23443379998207092,0.5497080683708191,57.95953869819641
96,0.1807808130979538,0.52812260389328,60.27270555496216
99,0.180317685008049,0.7987804412841797,48.53806495666504
102,0.18268047273159027,0.42302826046943665,67.29695200920105
105,0.1918078511953354,0.4279918372631073,65.68012833595276
108,0.18272416293621063,0.4079643785953522,67.4839437007904
111,0.23766323924064636,0.5283036828041077,58.08654427528381
114,0.20020443201065063,0.5063492059707642,60.308778285980225
117,0.2456905096769333,0.4235830307006836,64.67123031616211
120,0.183369979262352,0.5296571254730225,60.50923466682434
123,0.227059006690979,0.4464780390262604,67.98134446144104
126,0.20165328681468964,0.43936994671821594,63.12060356140137
129,0.16734015941619873,0.5359101295471191,60.74042320251465
132,0.21045935153961182,0.7244196534156799,58.305203914642334
135,0.2070140242576599,0.42395395040512085,67.27231740951538
138,0.19452431797981262,0.4136081039905548,68.22682619094849
141,0.19869202375411987,0.38653913140296936,71.60996794700623
144,0.19052600860595703,0.426920622587204,69.42821741104126
147,0.193965345621109,0.4679502844810486,66.64811372756958
150,0.19827213883399963,0.39194104075431824,70.27339935302734
153,0.1824449896812439,0.46278348565101624,68.21808218955994
156,0.18580982089042664,0.4217880070209503,70.291268825531
159,0.18353049457073212,0.6016530394554138,57.04887509346008
162,0.173407644033432,0.38482245802879333,70.74888348579407
165,0.17233018577098846,0.37329304218292236,72.09804058074951
168,0.19198623299598694,0.41111037135124207,69.5203423500061
171,0.21774111688137054,0.40282705426216125,70.61225771903992
174,0.18135976791381836,0.38841763138771057,70.50174474716187
177,0.19959668815135956,0.4356696903705597,66.73200130462646
180,0.17873363196849823,0.3625568747520447,72.121661901474
183,0.2052718847990036,0.44153526425361633,66.74756407737732
